Unnamed: 0,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
10,INM-CM4-8,75,0.0134805906563997,0.0169181227684021,0.0143102081492543,0.0183518528938293,301.54718017578125,300.4555053710937,303.5634155273437,301.82672119140625
11,INM-CM4-8,85,0.0120361410081386,0.0169684290885925,0.0128641705960035,0.0183613542467355,302.9584655761719,300.7509460449219,305.1674499511719,302.11358642578125
12,INM-CM4-8,90,0.0114523787051439,0.016975998878479,0.0124461511150002,0.0183206871151924,304.10614013671875,300.9611511230469,306.43310546875,302.319091796875
13,INM-CM4-8,95,0.0109980795532464,0.0169415269047021,0.0120588829740881,0.0182135440409183,305.8619079589844,301.3096008300781,308.3624267578125,302.6753234863281
14,INM-CM4-8,98,0.0108069544658064,0.0168853234499692,0.0119931809604167,0.0181517601013183,307.605224609375,301.83404541015625,310.2529296875,303.24981689453125
15,INM-CM4-8,99,0.0108053479343652,0.0169130377471447,0.0121173802763223,0.0182627327740192,308.5573425292969,302.3631896972656,311.24127197265625,303.8624572753906
0,INM-CM5-0,1,0.0137102138251066,0.0155552076175808,0.0150464018806815,0.0169327948242425,297.1732177734375,298.4064025878906,298.8911437988281,299.7505187988281
1,INM-CM5-0,2,0.0137782450765371,0.0156017234548926,0.015115913003683,0.0169831439852714,297.28045654296875,298.46539306640625,298.9971618652344,299.80908203125
2,INM-CM5-0,5,0.0139678651466965,0.0157197229564189,0.0153115671128034,0.0171105246990919,297.5421447753906,298.6137390136719,299.25177001953125,299.95733642578125
3,INM-CM5-0,10,0.0142301432788372,0.0158781334757804,0.0155542446300387,0.0172781348228454,297.8768310546875,298.81658935546875,299.57550048828125,300.15899658203125
4,INM-CM5-0,15,0.014412734657526,0.0160129647701978,0.0157119203358888,0.0174170993268489,298.1524963378906,298.9884338378906,299.8451538085937,300.3272399902344
5,INM-CM5-0,25,0.0146542666479945,0.0162368547171354,0.0159055367112159,0.0176443792879581,298.62847900390625,299.2691650390625,300.3174133300781,300.6040954589844
6,INM-CM5-0,35,0.0147713748738169,0.0163995325565338,0.015954228118062,0.0178114809095859,299.0648498535156,299.49420166015625,300.76287841796875,300.8270263671875
7,INM-CM5-0,45,0.0147281214594841,0.0165209416300058,0.0158287789672613,0.0179373156279325,299.5107116699219,299.6934814453125,301.2340393066406,301.0240173339844
8,INM-CM5-0,55,0.0145014151930809,0.0166236478835344,0.0155170001089572,0.0180404018610715,300.0184631347656,299.8864440917969,301.7848815917969,301.2152709960937
9,INM-CM5-0,65,0.0140448361635208,0.0167180784046649,0.0149479685351252,0.0181307140737772,300.656005859375,300.08984375,302.4880065917969,301.4150390625
