,model,percentile,alpha_O,alpha_L
243,MRI-ESM2-0,10,0.06447816,0.0670902449511614
244,MRI-ESM2-0,15,0.06447816,0.0670125908538063
245,MRI-ESM2-0,25,0.06447816,0.066821500821811
246,MRI-ESM2-0,35,0.06447816,0.0666700008017055
247,MRI-ESM2-0,45,0.06447816,0.0664805662471319
248,MRI-ESM2-0,55,0.06447816,0.0662224224691783
249,MRI-ESM2-0,65,0.06447816,0.0658524877495476
250,MRI-ESM2-0,75,0.06447816,0.0653074404879
251,MRI-ESM2-0,85,0.06447816,0.064564305320775
252,MRI-ESM2-0,90,0.06447816,0.0641134530927008
253,MRI-ESM2-0,95,0.06447816,0.0635873319946148
254,MRI-ESM2-0,98,0.06447816,0.0631447301371759
255,MRI-ESM2-0,99,0.06447816,0.062894609942988
256,NorESM2-LM,1,0.06441756,0.0666807658077841
257,NorESM2-LM,2,0.06441756,0.0666632906943501
258,NorESM2-LM,5,0.06441756,0.0666218768145561
259,NorESM2-LM,10,0.06441756,0.0665809283547703
260,NorESM2-LM,15,0.06441756,0.0664964958680466
261,NorESM2-LM,25,0.06441756,0.0663316557151289
262,NorESM2-LM,35,0.06441756,0.0661571912705119
263,NorESM2-LM,45,0.06441756,0.0659575795215385
264,NorESM2-LM,55,0.06441756,0.0657480262806045
265,NorESM2-LM,65,0.06441756,0.0655267248989544
266,NorESM2-LM,75,0.06441756,0.0652506799377634
267,NorESM2-LM,85,0.06441756,0.0648455502529923
268,NorESM2-LM,90,0.06441756,0.0645587425302301
269,NorESM2-LM,95,0.06441756,0.0641572843936404
270,NorESM2-LM,98,0.06441756,0.063738797824202
271,NorESM2-LM,99,0.06441756,0.0634336270616271
272,UKESM1-0-LL,1,0.06620405,0.0695669613657273
273,UKESM1-0-LL,2,0.06620405,0.069563186968106
274,UKESM1-0-LL,5,0.06620405,0.0694998477253345
275,UKESM1-0-LL,10,0.06620405,0.0693814662827329
276,UKESM1-0-LL,15,0.06620405,0.0692549228318342
277,UKESM1-0-LL,25,0.06620405,0.0690159353547043
278,UKESM1-0-LL,35,0.06620405,0.0687998222701849
279,UKESM1-0-LL,45,0.06620405,0.0685694084005752
280,UKESM1-0-LL,55,0.06620405,0.0683313057340331
281,UKESM1-0-LL,65,0.06620405,0.0680544368370763
282,UKESM1-0-LL,75,0.06620405,0.0676990706293636
283,UKESM1-0-LL,85,0.06620405,0.0671877479708342
284,UKESM1-0-LL,90,0.06620405,0.0668391493267628
285,UKESM1-0-LL,95,0.06620405,0.0663819840574905
286,UKESM1-0-LL,98,0.06620405,0.0659827229952424
287,UKESM1-0-LL,99,0.06620405,0.0657702660675509
